"Product title","Product variant title","Product variant SKU","Month","Shipping country","Product variant SKU at time of sale","Net items sold"
"83mm Conical Burrs","Default Title","HGB","2025-11-01","Australia","HGB",1
"83mm Conical Burrs","Default Title","HGB","2025-07-01","United States","HGB",2
"83mm Conical Burrs","Default Title","HGB","2025-08-01","China","HGB",1
"83mm Conical Burrs","Default Title","HGB","2025-11-01","Hong Kong","HGB",1
"83mm Conical Burrs","Default Title","HGB","2025-12-01","China","HGB",2
"83mm Conical Burrs","Default Title","HGB","2026-01-01","United States","HGB",1
"83mm Conical Burrs","Default Title","HGB","2026-04-01","United States","HGB",1
"83mm Conical Burrs","Default Title","HGB","2025-11-01","Canada","HGB",1
"83mm Conical Burrs","Default Title","HGB","2025-06-01","United States","HGB",1
"83mm Conical Burrs","Default Title","HGB","2025-10-01","Canada","HGB",1
"83mm Conical Burrs","Default Title","HGB","2025-12-01","Canada","HGB",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-11-01","Spain","BNP-50",2
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-12-01","Germany","BNP-B50",3
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-01-01","United States","BNP-100",7
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-12-01","United States","BNP-100",4
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-11-01","Czech Republic","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-08-01","Switzerland","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-11-01","United States","BNP-B50",3
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-11-01","Germany","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-08-01","Qatar","BNP-100",2
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2026-01-01","United States","BNP-B100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-02-01","Bahrain","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-01-01","Taiwan","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-12-01","Singapore","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-07-01","United Kingdom","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-03-01","United States","BNP-100",2
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-07-01","United States","BNP-B50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-02-01","United States","BNP-100",3
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-07-01","France","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-08-01","United States","BNP-B50",3
"BEAN CELLAR Bulk","100 / frosted","BNP-100","2026-04-01","Bulgaria","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-04-01","Australia","BNP-100",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-10-01","Taiwan","BNP-B100",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-05-01","Germany","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-12-01","Philippines","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-06-01","Germany","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-04-01","United States","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-09-01","United Arab Emirates","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-06-01","United Arab Emirates","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-01-01","Japan","BNP-B50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-11-01","Brazil","BNP-B100",1
"BEAN CELLAR Bulk","50 / frosted","BNP-50","2026-04-01","France","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-08-01","United States","BNP-100",4
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-09-01","Czech Republic","BNP-50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2026-01-01","Saudi Arabia","BNP-B100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-05-01","Malaysia","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-11-01","Denmark","BNP-100",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-06-01","Belgium","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-10-01","Taiwan","BNP-B50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-11-01","United States","BNP-B100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-01-01","Hong Kong","BNP-50",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-11-01","Canada","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-10-01","United States","BNP-B50",5
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-05-01","United States","BNP-50",8
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-10-01","United Kingdom","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-06-01","Netherlands","BNP-50",1
"BEAN CELLAR Bulk","100 / frosted","BNP-100","2026-04-01","United States","BNP-100",3
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-01-01","Japan","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-12-01","United Kingdom","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-04-01","South Africa","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-12-01","Saudi Arabia","BNP-100",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-04-01","Australia","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-11-01","Hong Kong","BNP-50",3
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-07-01","South Korea","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-03-01","Denmark","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-09-01","Belgium","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-01-01","Japan","BNP-50",2
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-07-01","Germany","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-01-01","Australia","BNP-50",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-12-01","France","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-10-01","Australia","BNP-50",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-07-01","Taiwan","BNP-50",2
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-05-01","United States","BNP-100",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-12-01","Japan","BNP-B100",7
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-06-01","United States","BNP-100",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-07-01","Indonesia","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-03-01","Qatar","BNP-B50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-12-01","Hong Kong","BNP-100",3
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-09-01","United Arab Emirates","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-07-01","Serbia","BNP-100",2
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-08-01","Switzerland","BNP-100",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-08-01","Australia","BNP-B50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-09-01","Switzerland","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-07-01","Germany","BNP-50",2
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-10-01","United Arab Emirates","BNP-100",15
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-03-01","Germany","BNP-B50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-07-01","Switzerland","BNP-B50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-01-01","Greece","BNP-100",3
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-09-01","United Kingdom","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-06-01","France","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-06-01","United States","BNP-50",13
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-05-01","Netherlands","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-08-01","Saudi Arabia","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-10-01","United States","BNP-50",13
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-03-01","South Korea","BNP-B50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-06-01","Japan","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-06-01","Singapore","BNP-50",1
"BEAN CELLAR Bulk","100 / frosted","BNP-100","2026-04-01","France","BNP-100",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-08-01","Ireland","BNP-B100",2
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-02-01","Norway","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-11-01","United Kingdom","BNP-50",2
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-11-01","Singapore","BNP-B50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-11-01","France","BNP-B100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-07-01","Saudi Arabia","BNP-100",3
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-07-01","Japan","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-07-01","Brazil","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-02-01","Ireland","BNP-B50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-08-01","United States","BNP-B100",3
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-10-01","Japan","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-10-01","Taiwan","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-01-01","Netherlands","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-05-01","Saudi Arabia","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-04-01","Germany","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-06-01","Japan","BNP-50",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-04-01","Poland","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-05-01","Japan","BNP-50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-09-01","Switzerland","BNP-B100",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-04-01","United Arab Emirates","BNP-B50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-09-01","United States","BNP-B100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-05-01","South Korea","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-03-01","South Africa","BNP-100",2
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2026-03-01","South Korea","BNP-B100",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-09-01","United Kingdom","BNP-B100",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-11-01","United States","BNP-50",11
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2026-03-01","Japan","BNP-B100",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-08-01","South Korea","BNP-50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-11-01","United Kingdom","BNP-B100",4
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-06-01","Germany","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-05-01","South Korea","BNP-100",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-09-01","Brazil","BNP-B50",1
"BEAN CELLAR Bulk","50 / frosted","BNP-50","2026-04-01","United States","BNP-50",1
