"Month","Product variant SKU","Product title","Product variant SKU at time of sale","Shipping country","Net items sold"
"2025-05-01","KEY-2-B","The Key","KEY-2-B","Indonesia",2
"2025-05-01","STD","Steam Dial","STD","Australia",3
"2025-05-01","UNB-B24","Unibasket","UNB-B24","Hong Kong",10
"2025-05-01","PH","EPF Dock","PH","Australia",2
"2025-05-01","PH","EPF Dock","PH","United States",4
"2025-05-01","EGW-3","EG-1 Spare Wipers","EGW-3","Australia",2
"2025-05-01","DB2","EG-1 Burrs","DB2","Hong Kong",2
"2025-05-01","BD1-SG","BIRD Spare Glass","BD1-SG","South Korea",18
"2025-05-01","EPF-55-100","EPF (10,000)","EPF-55-100","Australia",2
"2025-05-01","PH","EPF Dock","PH","Hong Kong",1
"2025-05-01","PS-25","Puck Screens (25)","PS-25","South Korea",1
"2025-05-01","BNG-B2","BEAN CELLAR Glass","BNG-B","Australia",1
"2025-05-01","UNB-B20","Unibasket","UNB-B20","Indonesia",8
"2025-05-01","UNB-B20","Unibasket","UNB-B20","Australia",2
"2025-05-01","PSC-B","Spring Clean™","PSC-B","Indonesia",4
"2025-05-01","KEY-2-B","The Key","KEY-2-B","Hong Kong",3
"2025-05-01","RNT-B","Really Nice Tamper","RNT-B","South Korea",5
"2025-05-01","BNG","BEAN CELLAR Glass","BNG","Australia",1
"2025-05-01","HG2_CLP","HG-2 Clear Gearbox Panels","HG2_CLP","Indonesia",2
"2025-05-01","RNT-B","Really Nice Tamper","RNT-B","United Kingdom",1
"2025-05-01","MNR-U","MOONRAKER™","MNR-U","United States",10
"2025-05-01","BD1-GK","BIRD Gasket Kit","BD1-GK","United Kingdom",1
"2025-05-01","EG1","The EG-1","EG1","Indonesia",3
"2025-05-01","EPF-55-100","EPF (10,000)","EPF-55-100","Hong Kong",1
"2025-05-01","PSC-B","Spring Clean™","PSC-B","Australia",6
"2025-05-01","PSC-B","Spring Clean™","PSC-B","Hong Kong",5
"2025-05-01","TPM-N","Leather Tamping Mat","TPM-N","Australia",4
"2025-05-01","BSH","Blind Shaker","BSH","United States",25
"2025-05-01","BCK-W","BUCK","BCK-W","Australia",4
"2025-05-01","UNB-B28","Unibasket","UNB-B28","Hong Kong",5
"2025-05-01","BD1","The BIRD","BD1","Australia",2
"2025-05-01","KEY-2-B","The Key","KEY-2-B","United States",10
"2025-05-01","EG1_RFR","EG-1 Refresh Kit","EG1_RFR","Indonesia",4
"2025-05-01","TPM-N","Leather Tamping Mat","TPM-N","Indonesia",4
"2025-05-01","RNT-B","Really Nice Tamper","RNT-B","United States",29
"2025-05-01","BCK-W","BUCK","BCK-W","Indonesia",2
"2025-05-01","BNG","BEAN CELLAR Glass","BNG","United States",7
"2025-05-01","UNF-2-T","Unifilter","UNF-2-T","Hong Kong",5
"2025-05-01","RNT","Really Nice Tamper","RNT","Indonesia",3
"2025-05-01","BSH-B","Blind Shaker","BSH-B","Australia",7
"2025-05-01","EG1-B","The EG-1","EG1-B","Malaysia",3
"2025-05-01","BD1","The BIRD","BD1","Indonesia",4
"2025-05-01","STD_ADT_ECM","Steam Dial Adapter: M10x1 Female","STD_ADT_ECM","Australia",1
"2025-05-01","UNF-2-T","Unifilter","UNF-2-T","Indonesia",2
"2025-05-01","BD1-MS","BIRD Metal Screen","BD1-MS","United Kingdom",1
"2025-05-01","EPF-58-100","EPF (10,000)","EPF-58-100","Australia",2
"2025-05-01","RNT-B","Really Nice Tamper","RNT-B","Malaysia",15
